Sample,Label
small case workbench armsbooks looked wall end long inside wall pistol hung hundred hundred cream lifetime collecting horizontal whitepainted board fixed wall four foot floor similar board placed five foot narrow vertical strip wide lath twice thick set row pistol hung barrel horizontal pair strip screwhooks grip muzzle hundred vertical row pistol rand still looking butler brought drink gladys told servant would went rather reluctantly spiral stair library well think colonel rand gladys asked rand tasted whiskey looked around one finest collection country said may even able find somebody wholl top river offer dont disappointed dont way anybody help mr fleming keep stuff clean room seems dry even theyd need occasional wipingoff oh walter always going pistol nelda said he every day lately wonder could spare help little ill need somebody know way around first course gladys agreed isnt busy morning afternoon till close dinnertime going start work today ill,Murder in the Gunroom.txt
said youd win piggybank seems mr fleming bought took apart found say screwthreads machinecut workingparts interchangeable one pistol lot paper accompanying themi herepurporting show sold austrian nobleman antinazi refugee whose family since reign maximilian ii course fabrication looked family almanach de gotha simply never existed first mr fleming inclined take view river equally victimized however river refused take back pistol refund purchase price altered opinion placed hand instructing bring suit also start criminal action fearful rage swore hed drive river business however could start action mr fleming killed accident sole witness fact sale none heir interested nothing fact advised action river would cost estate could hope recover damage picked one pistol examined dont know take home hang mantel rand advised im going anything selling collection dont want anything goode peering ivory inlay underbelly stock beautiful dont care made said think nobody else want ill mr rand intended collection well thats,Murder in the Gunroom.txt
checkingupping done inside fleming household went meticulous detail explain river murder ill work youre ready start buttling disencumbering two percussion revolver laid table want take show barbecue man get positive statement preferably writing either sold lane fleming might show agency card claim checking stolen pistol recovered identifies leech rigdon take colt show elmer umholtz want careful handle may want puncturing river though im inclined doubt get tell yes whether reblued replated backstrap triggerguard river know thats done bluing dark civil war period job frame ought casehardened color blued like barrel cylinder cylinderengraving almost obliterated see rustpits blued want know gun ever river shop thats important thing uhhuh got address rand furnished ritter noted waitress wandered back see wanted anything else gave small squeak surprise saw two big sixshooters table rand ritter repeated order brought back drink colt leech rigdon sight way see everybody who within lightyear river killing trying pin,Murder in the Gunroom.txt
pulled revolver pantsleg gave quick glance number handed cabot asked cabot checked number yes remember bruise left grip fleming saying glad would inside wouldnt show hung wall carried revolver desk held light thing wasnt fired exclaimed thought fleming might loaded meaning target ithe pistol range back housebut chamber clean sniffed hoppes number nine said see trace partly dissolved rust trace fouling devil jeff probably hasnt fired since appomattox rand agreed philip think didntknowitwasloaded routine might elaborate suicide buildup either fact absolutely trace impatience cabot voice lane fleming wasnt man commit suicide knew well ever believe heard rumor lose control company rand mentioned know much premix meant thats idiotic cabot voice openly scornful seemed little angry rand believe story though confidence friend intelligence betrayed good lord jeff ever hear yarn like quote usually wellinformed source unquote well unusually illinformed time cabot replied take word there absolutely nothing wasnt accident wasnt suicide,Murder in the Gunroom.txt
got two stiff right pull bayonet closeup chest sure better chalkline first youll move thing jerking bayonet turned back rand think maybe card file would gotten somebody trouble croak river get burned rest card coverup thats way look rand agreed cant think possibility though doesnt mean arent others hey think might selling modern arm criminal without reporting sale mckenna asked wouldnt put past rand considered little would put past fellow wouldnt think hed stupid enough carry record sale file though mckenna rubbed butt reflectively seemed substitute headscratching aid cerebration said yesterday bought pistol began right know collection back bright early morning working river somebody give rand told working river want buy fleming collection reason saw yesterday reason came morning find somebody stolen two dozen best pistol collection since fleming death tried cover replacing junk lane fleming wouldnt allowed inside house money butler fleming dead he one house know enough arm,Murder in the Gunroom.txt
looting pistolcollection im trying get thing straightened good heaven goode considerably shaken discover colonel rand wasnt notified many valuable item missing discovered soon saw collection rand began answering question order neither anybody else notified wanted get evidence justify arrest first nothing missing everything recovered finished thats im busy getting list revised straightening collection oh fine goode delighted hope everything handled quietly without unnecessary publicity matter dont care go phone imperative discus privately well suppose come mr goode rand suggested way wont interrupt work much there nobody home mr fleming shes indisposed well quite alone oh well think thats really good idea much better coming ill see directly ritter grinning rand hung thats stuff approved old hitler technique make come pound table yell want go let rand directed show take plant spiral stairway library sight dont think there use taking chance mopped face damn hot ten minute later ritter ushered humphrey,Murder in the Gunroom.txt
like jim farley rand flattered inscription clan slogan camerons something like son hound come get flesh wont attempt original mr rand bought leech rigdon gillis interjected handing river card money river looked saw much rand taken nodded nice item faintly praised though anything selling le hundred dollar much garbage considering condition confederate arm usually found really firstrate think youll like mr rand telephone rang cecil gillis answered listened moment said mr river long distance milwaukee river face lit beatific smile cat promising mousehole ah excuse mr rand crossed desk picked phone spoke arnold river said much edward murrow used say thisis london telephone sputtered moment ah yes indeed mr verral quite well thank hasnt sold yet wish ship approval certainly course original flintlock didnt list realtered replacement small spring inside patchbox yes rifling excellent course ill ship goodby mr verral hung turned hireling fairly licking chop cecil mr verral milwaukee,Murder in the Gunroom.txt
arm business blown face oh he talking hat cabot declared hope well lose interest hell buy whats left collection song maybe know collection robbed trehearne suggested would let later hed accuse fleming estate holding best piece offer take whats left five thousand well would presuming know collection robbed cabot pointed way hed know would bought stolen pistol well anybody need chaser swallow trehearne countered im bloody sure dont karen lawrence shook head hed pay twentyfive thousand collection stand keep pierre arm business end state couldnt support another armsdealer reputation he made hed one go stubbed cigarette finished drink dont mind pierre think ill go home im feeling festive right exmarine rose held hand rand dont get idea jeff anybody hold client interest look well treason make rand said hope river doesnt go id like see people get collection id hate see lot nice pistol like get hand damned swindler like,Murder in the Gunroom.txt
im willing pay twentyfive thousand dollar collection unquote rand said tell twentyfive thousand dollar pay unless find somebody who willing pay improbable hray geraldine waved glass toasted rand twentyfive g aint hay brother gladys smiled quickly rand turned nelda hope see thought wise bring somebody know something old arm said nelda evidently saw apparently nothing stupid fred going take miserable ten thousand dollar way said ten thousand sounded like fairly generous headwaiter tip river actually tell hed pay twentyfive rand gave nearly verbatim possible conversation dealer afford finished make nice profit collection figure god mean pistol worth even wanted know aghast certainly youre dealer established business customer country want take five six year make profit rand replied arent want money hurry thats turning collection gwinnett commission basis gladys said would take five year get everything sold nelda left fireplace advanced toward rand colonel owe apology said idea father pistol worth,Murder in the Gunroom.txt
case suffer lapsus lingu call dave front somebody yeah ill watch call jeff colonel rand sir nodded toward glovebox leech rigdons youd better get go fleming guy drivein made positive identification one sold fleming saw rest pistol dont waste time looking stink saw tip morning got young jarrett sprung writ thought moment river fleming murder look one man job rand said probably motive fleming merger violently opposed river killing must security measure sort must gwinnetts state police car pulled front large threestory frame house faded discolored paint jigsaw scrollwork around cornice standing among clump tree beside road mckenna kavaalen got walter started path front step ritter stopped behind white sedan rand got time walter two policeman front porch suddenly ritter turned sprinted around right side house rand stood looking moment started follow slowly shot slammed rear jerking changeling special whirled ran around left side house arriving rear time see gwinnett,Murder in the Gunroom.txt
